variable,q1,q3,iqr,lower_fence,upper_fence,outlier_count_iqr,outlier_percent_non_missing
nefa,129.202,495.157,365.955,-419.73,1044.09,488,6.76
bhb,0.35,0.67,0.32,-0.13,1.15,429,5.94
insulin,8.2,24.158,15.958,-15.737,48.095,418,5.94
eb_nel,-10.78,18.58,29.36,-54.82,62.62,2300,4.5
trltg,16.0,45.0,29.0,-27.5,88.5,1986,4.36
ca,2.35,2.51,0.16,2.11,2.75,296,4.11
feq,1.05,1.25,0.2,0.75,1.55,2178,3.9
rfd,7.8,15.6,7.8,-3.9,27.3,672,2.62
glukose,3.1,3.75,0.65,2.125,4.725,182,2.52
h2o,66.2,93.3,27.1,25.55,133.95,2698,1.97
lakt,4.7,4.93,0.23,4.355,5.275,1054,1.88
alter,1099.0,2004.0,905.0,-258.5,3361.5,9247,1.88
bcs,2.75,3.5,0.75,1.625,4.625,334,1.79
igf1,93.343,204.649,111.306,-73.616,371.608,121,1.72
fpro,3.47,4.35,0.88,2.15,5.67,922,1.65
fts,17.14,23.96,6.82,6.91,34.19,5746,1.37
epro,3.16,3.63,0.47,2.455,4.335,721,1.29
ftsnel,116.33,167.84,51.51,39.065,245.105,4447,1.06
gew,627.0,746.0,119.0,448.5,924.5,2951,0.79
mkg,25.5,39.1,13.6,5.1,59.5,1399,0.33
nsba,103.0,204.0,101.0,-48.5,355.5,8,0.33
ltg,70.0,254.0,184.0,-206.0,530.0,1514,0.31
apltg,-310.0,-113.0,197.0,-605.5,182.5,1047,0.27
tratag,57.0,205.0,148.0,-165.0,427.0,0,0.0
