month,rows,animals,farms,milk_records,bhb_records,any_disease_records
2014-08,4,1,1,1,0,0
2014-09,71,6,1,4,0,0
2014-10,212,8,1,18,1,0
2014-11,1069,84,2,84,11,7
2014-12,6434,228,4,3128,46,25
2015-01,10121,443,6,7928,84,112
2015-02,11661,456,6,10103,136,71
2015-03,13941,487,6,11907,149,73
2015-04,14200,574,8,11998,163,84
2015-05,18419,790,9,15583,265,120
2015-06,22387,882,10,18598,393,175
2015-07,23812,907,10,19842,449,138
2015-08,24053,878,9,20128,439,177
2015-09,24015,956,11,20558,454,323
2015-10,25852,972,11,21916,441,184
2015-11,24166,965,11,20248,453,205
2015-12,24433,937,11,21121,476,247
2016-01,24785,902,11,22281,359,171
2016-02,21593,827,10,19593,376,166
2016-03,21711,805,10,19426,331,161
2016-04,18046,742,10,15842,191,87
2016-05,18106,766,10,15600,238,100
2016-06,18206,825,11,15715,273,153
2016-07,20497,745,11,17666,257,141
2016-08,20941,753,11,18436,343,227
2016-09,18710,704,10,16212,237,294
2016-10,17345,620,9,15254,160,135
2016-11,15782,626,9,14270,212,144
2016-12,12442,483,7,11559,161,85
2017-01,8943,364,5,8451,87,47
2017-02,6094,311,3,5907,15,22
2017-03,4489,235,2,4296,17,15
