variable,count,mean,std,min,1%,5%,25%,median,75%,95%,99%,max
alter,492540.0,1619.357,677.126,551.0,720.0,796.0,1099.0,1491.0,2004.0,2911.0,3660.61,4929.0
ltg,484308.0,167.714,115.954,0.0,3.0,14.0,70.0,148.0,254.0,369.0,457.0,766.0
apltg,394717.0,-215.824,124.661,-869.0,-497.0,-406.0,-310.0,-223.0,-113.0,-16.0,-4.0,0.0
tratag,278021.0,131.978,84.608,0.0,2.0,10.0,57.0,125.0,205.0,269.0,279.0,320.0
trltg,45546.0,34.706,26.516,0.0,0.0,2.0,16.0,32.0,45.0,84.0,133.0,227.0
fts,418647.0,20.478,5.344,0.0,7.56,11.23,17.14,20.71,23.96,28.85,33.0,48.96
ftsnel,418623.0,141.292,40.13,0.02,48.11,69.87,116.33,143.5,167.84,203.739,233.7,353.94
eb_nel,51145.0,3.164,27.151,-182.1,-73.816,-43.578,-10.78,4.16,18.58,45.348,70.669,197.38
h2o,136822.0,79.675,21.736,0.1,24.221,43.3,66.2,79.7,93.3,115.3,132.3,171.1
gew,375354.0,688.499,86.747,355.0,497.0,555.5,627.0,685.714,746.0,837.0,897.3,1046.5
bcs,18624.0,3.204,0.587,1.0,1.75,2.25,2.75,3.25,3.5,4.25,4.75,5.0
rfd,25688.0,12.475,6.004,3.8,5.0,5.8,7.8,11.0,15.6,23.9,32.513,51.0
mkg,423673.0,32.465,9.793,0.1,11.7,16.55,25.5,32.45,39.1,48.94,55.67,73.7
fpro,55936.0,3.938,0.681,1.04,2.49,2.91,3.47,3.89,4.35,5.11,5.8,8.86
epro,56030.0,3.409,0.368,2.02,2.68,2.87,3.16,3.38,3.63,4.03,4.36,12.3
feq,55884.0,1.158,0.18,0.3,0.76,0.9,1.05,1.14,1.25,1.47,1.72,2.67
lakt,55921.0,4.805,0.181,2.93,4.29,4.48,4.7,4.82,4.93,5.08,5.17,5.45
bhb,7217.0,0.594,0.472,0.02,0.17,0.23,0.35,0.48,0.67,1.26,2.748,9.46
glukose,7220.0,3.404,0.54,0.41,1.872,2.48,3.1,3.44,3.75,4.17,4.55,8.05
nefa,7220.0,380.811,377.766,2.17,65.278,86.049,129.202,228.005,495.157,1171.972,1836.438,3010.02
insulin,7035.0,18.99,16.466,0.02,1.193,3.154,8.2,14.393,24.158,50.71,81.406,166.7
igf1,7036.0,155.579,87.398,0.0,6.7,32.853,93.343,147.856,204.649,308.822,407.424,1070.68
ca,7203.0,2.424,0.167,0.65,1.92,2.18,2.35,2.44,2.51,2.64,2.76,3.56
nsba,2431.0,152.132,70.933,-92.0,-0.88,36.0,103.0,151.0,204.0,270.0,307.7,360.0
